sim_time,phase,error_shoulder_joint,error_upperArm_joint,error_foreArm_joint,error_wrist1_joint,error_wrist2_joint,error_wrist3_joint,q_shoulder_joint,q_upperArm_joint,q_foreArm_joint,q_wrist1_joint,q_wrist2_joint,q_wrist3_joint,v_shoulder_joint,v_upperArm_joint,v_foreArm_joint,v_wrist1_joint,v_wrist2_joint,v_wrist3_joint,reference_shoulder_joint,reference_upperArm_joint,reference_foreArm_joint,reference_wrist1_joint,reference_wrist2_joint,reference_wrist3_joint,command_effort_shoulder_joint,command_effort_upperArm_joint,command_effort_foreArm_joint,command_effort_wrist1_joint,command_effort_wrist2_joint,command_effort_wrist3_joint
31.07,B：搬运至 P3 上方 · 执行,-2.4090409940336066e-05,-2.597803900647455e-06,3.837827841834951e-05,-3.671079061513122e-05,-1.76984679196579e-05,-0.0011135892260020208,0.6586227705055094,0.09774512259655822,1.6216554411747928,-0.05257355457754558,1.5708490269840985,0.5885579193264496,-1.1041916233118658,0.3823146855653623,0.2790969883923571,-0.08250446261844308,-0.00025765554459079897,-1.3403890104875824,0.6585986800955691,0.09774252479265758,1.6216938194532111,-0.052610265368160714,1.5708313285161788,0.5874443301004476,-1.489631667994824,11.560448784604178,-12.097711322799753,2.237567905995205,-0.21406473226608866,-0.02952445394642262
31.08,B：搬运至 P3 上方 · 执行,-2.450487137095614e-05,-1.924765559463415e-06,3.6408293184297946e-05,-3.2843578293799414e-05,-1.3441702902738939e-05,-0.0011177005963702857,0.6473603276868499,0.10156835113162656,1.6244462628007512,-0.05339835605610759,1.5708457284064503,0.5751367292115985,-1.1442822555926055,0.3823355896187451,0.2790769342476029,-0.08244366786314916,-0.0003889966068773115,-1.3428680336636356,0.647335822815479,0.1015664263660671,1.6244826710939355,-0.05343119963440139,1.5708322867035476,0.5740190286152282,-1.4721376073395072,11.512030105579553,-12.092491993403698,2.2305791684254364,-0.2072932127153581,-0.029425505588269868
31.09,B：搬运至 P3 上方 · 执行,-2.4156623469662186e-05,-1.4575681527850826e-06,3.470219086310067e-05,-2.9677405160848103e-05,-8.187296575146163e-06,-0.0011189460840153043,0.6356971224333244,0.1053917854160149,1.6272368204769798,-0.05422245647581297,1.5708414321874689,0.5617068614716872,-1.1843463264748018,0.3823562359452021,0.27904578826787707,-0.08236794547092935,-0.0004610830315743222,-1.3430816658707903,0.6356729658098548,0.10539032784786212,1.627271522667843,-0.054252133880973816,1.5708332448908937,0.5605879153876719,-1.4540039988498643,11.464097746190811,-12.086702265922385,2.2230553357285014,-0.20012663396004482,-0.029670582967425075
31.1,B：搬运至 P3 上方 · 执行,-2.3329953673156822e-05,-1.2037887193588892e-06,3.33510885721644e-05,-2.7298838311005935e-05,-2.5707679360831293e-06,-0.0011187821176469326,0.6236334386206708,0.10921543316418375,1.6300270231865865,-0.055045769299069375,1.5708367738461873,0.5482755841168686,-1.2243805873299343,0.38237819123036826,0.27900727816397297,-0.08228756232966505,-0.0004680773103304032,-1.3431228287886474,0.6236101086669976,0.10921422937546439,1.6300603742751587,-0.05507306813738038,1.5708342030782512,0.5471568019992217,-1.4361193163095345,11.416476490508142,-12.080490505065871,2.2151728721762165,-0.1928588819344855,-0.02989877651282087
31.11,B：搬运至 P3 上方 · 执行,-2.2319657792424508e-05,-1.1772728693848489e-06,3.240981451324565e-05,-2.5714749900374034e-05,2.7651068361667086e-06,-0.0011189054716430613,0.611169571181933,0.11303930817593608,1.6328168160679608,-0.05586828764388658,1.5708323961587725,0.5348445940824146,-1.2643863315556427,0.38240136045324746,0.2789647648433823,-0.08220913595165669,-0.00041276937683915776,-1.3430748140314896,0.6111472515241406,0.11303813090306669,1.632849225882474,-0.05589400239378695,1.5708351612656086,0.5337256886107715,-1.4185998600601053,11.369097816319421,-12.07387937544192,2.206968165957139,-0.1855633432393017,-0.030150470596929522
31.12,B：搬运至 P3 上方 · 执行,-2.139454448946143e-05,-1.3848347309997067e-06,3.189983212292802e-05,-2.4887431630704615e-05,7.2603090295331185e-06,-0.001119224016908782,0.5983057889257729,0.11686341726539988,1.6356061776576662,-0.056690049218562785,1.5708288591439372,0.5214137992392298,-1.3043666086516696,0.38242485564725154,0.27892154914646916,-0.08213643542101416,-0.0003073505185295937,-1.3430799690075754,0.5982843943812834,0.11686203243066888,1.6356380774897892,-0.05671493665019349,1.5708361194529668,0.520294575222321,-1.4015499174362342,11.321955164874938,-12.066888692818559,2.1984531287939215,-0.1782889351605126,-0.030405762008065662
31.13,B：搬运至 P3 上方 · 执行,-2.078945737982174e-05,-1.8240977836397887e-06,3.1812104734463276e-05,-2.4739006654131424e-05,1.0506426436407423e-05,-0.0011193850948738593,0.585042326695806,0.12068775805605483,1.6383951169923712,-0.05751113189994593,1.5708265712138871,0.507982846928745,-1.3443252461434294,0.3824475739686494,0.27888046972073427,-0.08207298248869928,-0.0001691904784462957,-1.3430964379185593,0.5850215372384262,0.1206859339582712,1.6384269290971056,-0.05753587090660006,1.5708370776403235,0.5068634618338711,-1.3850489987303747,11.275050490004881,-12.059549788344126,2.1896441938170774,-0.17106630525199978,-0.030659031245202674
31.14,B：搬运至 P3 上方 · 执行,-2.0691096364822137e-05,-2.4787166344741873e-06,3.211286831295013e-05,-2.516510642940062e-05,1.2280825633537162e-05,-0.0011194466733058794,0.5713793711919337,0.12451231420250794,1.6411836678361085,-0.05833164005657722,1.5708257550020472,0.49455179511872677,-1.3842678247429252,0.3824678297039519,0.27884375812883816,-0.08202018461879029,-1.7755032850400496e-05,-1.343101664571005,0.5713586800955689,0.12450983548587347,1.6412157807044214,-0.05835680516300662,1.5708380358276808,0.4934323484454209,-1.3691638794373264,11.228460699123852,-12.05187711484928,2.1805221320623,-0.1638908760465077,-0.03091531029151967
31.15,B：搬运至 P3 上方 · 执行,-2.122267112625309e-05,-3.3143170136695765e-06,3.2749610183735456e-05,-2.6054807795938828e-05,1.2551695489415593e-05,-0.001119460410607398,0.557317045623838,0.12833705133048942,1.643971882701553,-0.05915168461161724,1.5708264423195486,0.48112069546757813,-1.4242012309688636,0.382483854412381,0.2788129340538605,-0.08197866317228251,0.00012887613305103811,-1.3431070773092322,0.5572958229527117,0.12833373701347575,1.6440046323117368,-0.05917773941941318,1.570838994015038,0.48000123505697073,-1.353858842763287,11.182153848764159,-12.043938603941402,2.171140974756189,-0.1567706557731691,-0.031174030299766606
31.16,B：搬运至 P3 上方 · 执行,-2.2438194114515753e-05,-4.278822442083108e-06,3.3656263009218534e-05,-2.730465648415059e-05,1.1460161239096323e-05,-0.0011194100175341837,0.542855404003969,0.13216191736352012,1.6467598276560447,-0.05997136901933558,1.5708284920411562,0.46768953168605476,-1.4641323613233779,0.38249397929750134,0.27878916163593337,-0.08194705899337046,0.00025464736408425655,-1.3431138156720916,0.5428329658098545,0.13215763854107804,1.646793483919054,-0.05999867367581973,1.5708399522023953,0.4665701216685206,-1.3390922453016072,11.136170873575507,-12.035780580122424,2.1615143593403054,-0.14968211963113637,-0.0314344875166446
