sim_time,phase,error_shoulder_joint,error_upperArm_joint,error_foreArm_joint,error_wrist1_joint,error_wrist2_joint,error_wrist3_joint,q_shoulder_joint,q_upperArm_joint,q_foreArm_joint,q_wrist1_joint,q_wrist2_joint,q_wrist3_joint,v_shoulder_joint,v_upperArm_joint,v_foreArm_joint,v_wrist1_joint,v_wrist2_joint,v_wrist3_joint,reference_shoulder_joint,reference_upperArm_joint,reference_foreArm_joint,reference_wrist1_joint,reference_wrist2_joint,reference_wrist3_joint,command_effort_shoulder_joint,command_effort_upperArm_joint,command_effort_foreArm_joint,command_effort_wrist1_joint,command_effort_wrist2_joint,command_effort_wrist3_joint
1.09,C：到达把手上方 · 执行,4.841301046015962e-05,-0.00014879445788129608,0.0001104175379338379,-7.00879623567463e-05,8.922018854606861e-06,8.782206354046411e-08,0.001163200113325044,0.3474439344230323,1.3315055665774156,-0.3625975089455714,1.5675246242888172,0.00030708481407662106,0.0010295504769310877,-0.001853683524996888,0.0013789893700947519,0.0003369557596888781,0.0012448427455354018,0.0012841563288266578,0.0012116131237852037,0.347295139965151,1.3316159841153494,-0.36266759690792816,1.5675335463076718,0.0003071726361401615,0.14394336996552146,3.876538028094545,-9.64133961395514,2.3269273843401126,0.0482273244102806,0.009131982502992601
1.1,C：到达把手上方 · 执行,4.479283896802167e-05,-0.00013544235516649294,0.00010205976184818333,-6.0299749885250886e-05,8.244537845314426e-06,2.4567992106796425e-06,0.0011916469515276414,0.347405755653607,1.3315387510202117,-0.3625673971579725,1.5675495047594565,0.0003446158369998634,0.004744953428215252,-0.005807509297943946,0.005316559526670176,0.00589075106382266,0.0028293176128301252,0.006433353927481676,0.001236439790495663,0.3472703132984405,1.3316408107820599,-0.36262769690785773,1.5675577492973019,0.00034707263621054304,0.2672051421003344,3.5298866453293547,-9.492091038250013,2.3263020035573314,0.05056981738062147,0.009939381320652696
1.11,C：到达把手上方 · 执行,3.9070644171655244e-05,-0.00011824850685615562,8.966432139945191e-05,-5.048901352516788e-05,8.216723976106621e-06,8.733120430802022e-06,0.001272595812430952,0.34731333513918966,1.3316263731267672,-0.3624563078952321,1.567577097437238,0.00045923951488018695,0.01123132930166085,-0.012447745547840353,0.01196567911218721,0.016030901647656724,0.002726033110251364,0.0162184738718228,0.0013116664566026072,0.3471950866323335,1.3317160374481667,-0.36250679690875726,1.5675853141612142,0.00046797263531098897,0.4010862730515388,3.1861026733964533,-9.34504498535569,2.325701417110727,0.059335914270322136,0.010768517786000414
1.12,C：到达把手上方 · 执行,3.187430331619539e-05,-9.814235915367453e-05,7.46469976580233e-05,-4.067585447209421e-05,8.432865576502024e-06,1.8437082884828395e-05,0.0014334188199530788,0.3471396023248206,1.3317950171171762,-0.3622192210542852,1.5676044461599097,0.0006964355524261607,0.0204497176291674,-0.021796051258407282,0.021257917849256514,0.03064077261872328,0.002756273087911599,0.030477920048426237,0.0014652931232692742,0.34704145996566693,1.3318696641148342,-0.3622598969087573,1.5676128790254862,0.0007148726353109891,0.5349923190643243,2.8452024521905814,-9.19870732838138,2.3250256555687234,0.06807686420517853,0.01170018166191496
1.13,C：到达把手上方 · 执行,2.37758675662779e-05,-7.615398536858775e-05,5.845408849269873e-05,-3.060921186087695e-05,7.997025518236e-06,3.190122776862512e-05,0.0017015439223696629,0.3468575872843688,1.3320712366930074,-0.3618113876968964,1.5676324468642413,0.001100871407542364,0.03241927313241041,-0.03383268551773951,0.033219316612577016,0.04973655853857076,0.0028374861052396193,0.04921627573157768,0.0017253197899359408,0.3467814332990002,1.3321296907815001,-0.3618419969087573,1.5676404438897595,0.0011327726353109891,0.6690801359031022,2.507039270512416,-9.052746604984865,2.3242159830449567,0.07677654557475806,0.012741914167889322
1.1400000000000001,C：到达把手上方 · 执行,1.5199542624130986e-05,-5.345972043385716e-05,4.221572584572897e-05,-2.0314626896500432e-05,6.801950373835908e-06,4.9178031135226324e-05,0.0021045469139784763,0.3464404663527674,1.332481901722321,-0.36118778228186077,1.5676612068036582,0.0017174946041757626,0.04714824927345217,-0.0485503457370375,0.047880978761145596,0.07334871321976728,0.002904549128709423,0.07245418910665627,0.0021197464566026073,0.3463870066323335,1.3325241174481668,-0.36120809690875727,1.567668008754032,0.0017666726353109889,0.8036139894081576,2.1723297734325975,-8.907214517928642,2.3230841576258667,0.08551471981590664,0.013888795738145675
1.15,C：到达把手上方 · 执行,6.532985549634156e-06,-3.123229903811975e-05,2.679962310936368e-05,-1.0029823199531052e-05,5.176572667187074e-06,7.024931153124794e-05,0.0026700401610454515,0.34586141224137923,1.3330541445150499,-0.36030316704807014,1.5676903970466254,0.002591323361267653,0.06463876169934976,-0.06595435995150446,0.06526532112858903,0.10148904396485667,0.002929203799605327,0.10019561858546625,0.0026765731465950857,0.3458301799423411,1.3330809441381593,-0.36031319687126967,1.5676955736192926,0.002661572672798901,0.9388166066053226,1.8403963646033956,-8.761780997976857,2.3215431435778617,0.09436025176613301,0.015138778839986985
1.16,C：到达把手上方 · 执行,-1.927373076090512e-06,-9.732012285268432e-06,1.2676478483797382e-05,-3.0257123612154047e-07,3.7380311723733683e-06,9.501714641951776e-05,0.0034257271630120296,0.3450990930609384,1.3338154943030167,-0.3591119943375211,1.567719400451406,0.0037674554888914723,0.08492816794045245,-0.08429367464612832,0.08545387602551517,0.1342239771488394,0.002845789742325763,0.13246652579586182,0.003423799789935939,0.3450893610486531,1.3338281707815005,-0.35911229690875723,1.5677231384825783,0.00386247263531099,0.9788115606546272,1.912104322204702,-8.778027729462256,2.3304329126306937,0.10407090198707551,0.0160877052057394
1.17,C：到达把手上方 · 执行,-2.1978152865464833e-05,3.5724300542328e-05,-1.686099267783625e-05,1.535640418964812e-05,4.50060202128455e-06,0.0001685423909756397,0.006183505942801412,0.3426395080282097,1.336582759774178,-0.35477490130316836,1.5677847935548104,0.008093850244335348,0.14501208734431667,-0.11657280872511094,0.14521778158567805,0.2223517763607269,0.002713227235098303,0.22826088057427346,0.006161527789935947,0.342675232328752,1.3365658987815001,-0.3547595448989787,1.5677892941568317,0.008262392635310988,1.0262051244337074,2.1934812647658353,-8.769238824054435,2.2894189470934063,0.12804039001525797,0.01775243791143656
1.188,C：到达把手上方 · 执行,-2.5058684154723003e-05,4.17172344269745e-05,-2.054981546306678e-05,1.7173615936838527e-05,4.613801628083891e-06,0.000182903306864296,0.006792357140757336,0.34216370007833435,1.33719221926363,-0.353853301479219,1.567795706300913,0.009053049328446701,0.1565722854087932,-0.12033707792267224,0.15669769899905003,0.23516059780630705,0.002743828911912846,0.24671244422163507,0.006767298456602613,0.34220541731276133,1.337171669448167,-0.35383612786328217,1.567800320102541,0.009235952635310997,1.0326136929701637,2.238364993934517,-8.756777348390093,2.275667414593163,0.13203985269213753,0.017997777036153732
